gaiaid	period_x	p31	feh_x	feh_e_x	feh_p	feh_pe
3111925220109675136	0.476327	5.783	-0.6	0.13	0.034	0.008
5360400630327427072	0.527431	5.02	-1.6	0.13	-1.593	0.357
3677686044939929728	0.525762	4.242	-2.2	0.13	-2.932	0.668
5335614752064948224	0.453187	4.636	-2.35	0.13	-1.816	0.417
5810433728873201408	0.471806	5.318	-0.75	0.13	-0.745	0.162
3030561879348972544	0.734203	5.946	-1.4	0.13	-1.226	0.266
6701724002113004928	0.524998	5.087	-1.7	0.13	-1.464	0.327
2371321782802181888	0.58628	5.045	-1.45	0.13	-1.903	0.452
2981136563934324224	0.587251	5.377	-1.45	0.13	-1.334	0.285
3652665558338018048	0.410808	4.556	-0.75	0.13	-1.701	0.406
5045760843864182528	0.803761	5.827	-1.75	0.13	-1.849	0.385
4860671839583430912	0.605349	5.299	-1.95	0.13	-1.577	0.343
4818348922610995200	0.41978	5.041	-0.75	0.13	-0.913	0.206
2973463347160718976	0.581475	5.036	-2.1	0.13	-1.889	0.431
4784552718312266624	0.440381	5.494	-0.6	0.13	-0.251	0.055
2414817603803476864	0.606062	5.499	-1.75	0.13	-1.234	0.277
6730211038418525056	0.589331	5.599	-1.55	0.13	-0.96	0.213
5283957629860435072	0.57059	5.345	-1.6	0.13	-1.289	0.288
4417888542753226112	0.714097	5.323	-1.95	0.13	-2.185	0.491
5461994302138361728	0.574337	4.959	-1.8	0.13	-1.98	0.437
3587566361077304704	0.732843	5.759	-1.7	0.13	-1.541	0.334
6787617919184986496	0.586917	5.681	-1.65	0.13	-0.803	0.195
4825302302864705152	0.487341	5.353	-1.55	0.13	-0.777	0.189
234108363683247616	0.425558	5.197	-0.41	0.1	-0.678	0.154
630421935431871232	0.452399	4.626	-1.49	0.1	-1.828	0.404
1009665142487836032	0.597423	5.292	-1.64	0.1	-1.541	0.331
1058066262817534336	0.660412	5.232	-1.91	0.1	-2.022	0.446
1286188056265485952	0.377332	5.256	-0.49	0.1	-0.287	0.067
1483653713185923072	0.551764	5.346	-1.32	0.14	-1.174	0.254
1533880980593444352	0.697805	5.211	-2.35	0.13	-2.282	0.494
1561928427003019520	0.468065	5.025	-1.39	0.1	-1.231	0.283
1683444631038133248	0.569663	5.265	-1.33	0.1	-1.423	0.316
1760981190300823808	0.472623	5.658	-0.54	0.1	-0.161	0.035
2099623285533405952	0.68202	4.633	-2.68	0.11	-3.19	0.698
2110264427784391168	0.440911	5.335	-0.44	0.1	-0.53	0.122
2254366868398077312	0.476495	5.178	-0.96	0.1	-1.015	0.234
2381771781829913984	0.633737	5.425	-1.9	0.15	-1.528	0.346
2558296724402139392	0.553028	5.133	-1.55	0.1	-1.55	0.336
2689556491246048896	0.459305	4.823	-1.52	0.15	-1.528	0.36
2828497068363486720	0.640998	5.822	-1.59	0.1	-0.882	0.214
3626569264033312896	0.55345	4.993	-1.82	0.1	-1.796	0.439
3797319369672686592	0.626346	5.182	-2.05	0.1	-1.906	0.474
4224859720193721856	0.361786	5.035	-0.46	0.1	-0.577	0.129
4593112037219674368	0.577122	5.078	-1.49	0.1	-1.79	0.396
4596935593202765184	0.3996	5.192	-0.49	0.1	-0.53	0.118
4709830423483623808	0.64226	5.173	-1.9	0.15	-2.016	0.496
5510293236607430656	0.390746	4.943	-1.07	0.15	-0.91	0.215
5769986338215537280	0.571164	5.26	-1.64	0.1	-1.439	0.322
5773390391856998656	0.587263	5.259	-1.92	0.1	-1.538	0.335
6380659528686603008	0.550076	4.989	-1.79	0.1	-1.783	0.426
6483680332235888896	0.479602	4.91	-1.6	0.14	-1.499	0.339
6771307454464848768	0.477492	4.822	-1.29	0.1	-1.639	0.399
6226585956422527616	0.698509	5.636	-1.61	0.22	-1.55	0.341
2073691475601022336	0.523647	5.59	-0.56	0.1	-0.583	0.138
2073795929206140416	0.620693	5.285	-1.3	0.1	-1.692	0.379
2080455705486937728	0.533194	5.154	-1.42	0.14	-1.396	0.322
2101971601853190912	0.683622	5.396	-1.47	0.1	-1.877	0.404
2102990574253407744	0.456497	4.806	-1.42	0.1	-1.54	0.392
2104438871583819904	0.488147	5.343	-0.3	0.1	-0.798	0.175
2105004192359662336	0.473709	4.562	-1.28	0.1	-2.067	0.502
2105468529864072704	0.587799	5.089	-2.03	0.1	-1.836	0.427
2119119619555858944	0.594237	4.899	-1.97	0.1	-2.203	0.491
2127827579851196800	0.433772	5.388	-0.19	0.1	-0.395	0.084
2128131113782390144	0.556913	5.131	-1.41	0.15	-1.577	0.372
2130324914355524992	0.527025	5.181	-1.3	0.1	-1.312	0.3
2131968508140833920	0.613217	5.562	-1.23	0.1	-1.168	0.252
2132161064413068160	0.687212	5.498	-1.47	0.1	-1.721	0.373
2133132895253493760	0.436382	5.025	-1.37	0.15	-1.041	0.249
5412243359495900928	0.573509	5.245	-1.92	0.1	-1.48	0.322
6570585628216929408	0.570037	5.146	-2.13	0.1	-1.63	0.387
6573170751851975936	0.668756	4.714	-2.89	0.1	-2.97	0.691
